label,hold,th_long_mult,th_short_mult,scaled,ret,ann,sharpe,dd,wr,avg_bps,trades,trades_per_day
h8_L1.0_S1.0_1x,8,1.0,1.0,False,-0.15842821485691205,-0.3412500071764194,-2.324094867263367,-0.2434050827057156,0.33,-16.62250693782822,574,5.74
h5_L1.0_S1.0_1x,5,1.0,1.0,False,-0.18264685444414863,-0.38619338182981855,-2.769751652419531,-0.22581030079143116,0.28,-19.55815409079532,775,7.75
h1_L0.7_S1.0_1x,1,0.7,1.0,False,-0.12544141529027097,-0.2770152189495677,-3.1896790344935364,-0.1449181926449914,0.32,-13.18925540073573,2394,23.94
h1_L1.0_S1.0_sc,1,1.0,1.0,True,-0.1980375730154459,-0.4137906623368567,-4.693069522293154,-0.19912901375640868,0.27,-21.787804119691934,1472,14.72
h1_L1.0_S1.0_1x,1,1.0,1.0,False,-0.2550394238999293,-0.5095863358993316,-10.192971915781467,-0.2546416837976905,0.19,-29.299449458221204,1535,15.35
h8_L1.5_S1.0_sc,8,1.5,1.0,True,-0.5296404589329309,-0.8388313759389339,-13.111844767581566,-0.5243715442272424,0.06,-74.7559878144441,289,2.89
h5_L1.5_S1.0_sc,5,1.5,1.0,True,-0.4489053251790023,-0.7635346892782034,-13.686970047648382,-0.44400069934170605,0.08,-59.18312606311501,374,3.74
h2_L1.5_S1.0_sc,2,1.5,1.0,True,-0.367557681320663,-0.6700329061478609,-14.963544440186029,-0.36381687620816394,0.08,-45.60008407105883,682,6.82
h8_L2.0_S1.0_sc,8,2.0,1.0,True,-0.5355543625029324,-0.8436915599716522,-15.143116935146804,-0.5303516946802505,0.05,-76.09550945891306,266,2.66
h3_L1.5_S1.0_sc,3,1.5,1.0,True,-0.3906695617636783,-0.6984606785451778,-15.994652278039984,-0.38485137528785096,0.11,-49.30244334397255,534,5.34
